id,product_name,price,stock,date_added
666,Coconut Yogurt,$839661.12,3,11/11/2025
667,Fitness Tracker Band,$379201.18,11,11/3/2025
668,Egg Noodles,$109900.73,9,26/5/2023
669,Lemon Sorbet,$938375.05,15,13/2/2022
670,Collapsible Camping Cup,$394578.09,7,18/11/2024
671,Kids' Trampoline,$694560.96,8,30/8/2024
672,Leather Biker Jacket,$73882.35,1,6/1/2023
673,Homestyle Beef Stew,$103019.83,18,31/10/2025
674,Collapsible Camping Cup,$999277.41,6,14/11/2025
675,Puzzle 3D Model Kit,$911235.16,8,13/12/2022
676,Sports Bottle,$18087.97,11,22/5/2020
677,Tattoo Kit,$805388.92,8,9/7/2021
678,Almond Milk Yogurt,$594924.81,20,20/2/2025
679,Chiffon Blouse,$822057.86,4,18/1/2021
680,Coffee Capsule Dispenser,$641015.12,3,7/9/2020
681,Warm Wool Sweater,$262750.90,14,3/10/2025
682,Summer Tank Dress,$213607.44,16,14/2/2022
683,Basmati Rice,$959703.20,17,23/10/2024
684,Kids Tablet,$87710.17,18,7/5/2025
685,Frozen Edamame,$381341.60,9,11/9/2025
686,Frozen Salmon Filets,$81065.02,7,17/5/2023
687,Greek Feta Cheese,$178872.97,5,17/4/2021
688,Coconut Curry Chicken,$280346.91,19,11/6/2024
689,Garlic Parmesan Roasted Nuts,$313462.68,3,24/8/2021
690,Scent Diffuser Oil,$668289.05,20,8/1/2022
691,Yoga Strap,$926229.64,16,20/12/2023
692,Indian Curry Sauce,$605352.61,4,27/8/2025
693,Smartphone Stand,$867040.86,20,25/3/2022
694,Honey mustard chicken tenders,$760725.46,13,13/2/2023
695,Rechargeable Laptop Battery Pack,$53207.46,11,31/8/2020
696,Self-Adhesive Wallpaper,$329959.43,10,22/9/2020
697,Smartphone Camera Lens Kit,$632756.89,20,17/5/2025
698,Low-Fat Yogurt,$538899.36,14,9/1/2020
699,Photo Album,$429263.27,16,8/11/2025
700,Indoor Grill,$66291.67,8,1/4/2022
701,Garlic and Herb Cream Cheese,$721290.43,1,25/5/2020
702,A-Line Skirt,$825022.41,1,4/3/2023
703,Smart Thermostat with Wi-Fi,$384148.22,15,17/8/2024
704,Graphic Print Leggings,$290682.89,9,22/8/2022
705,Cinnamon Raisin Bread,$623758.72,8,15/10/2020
706,Cotton Tote Bag Set,$219227.53,7,28/12/2023
707,Matcha Green Tea Powder,$946234.42,19,16/6/2020
708,Frozen Mixed Vegetables,$439238.14,11,18/10/2024
709,Pet Travel Bed,$212618.68,3,30/9/2021
710,Fruit Infuser Water Bottle,$645710.39,6,9/9/2025
711,Buffalo Wing Sauce,$707601.72,14,7/8/2020
712,Bike Repair Tool Kit,$331672.77,13,7/12/2025
713,Gluten-Free Pancake Mix,$7075.11,15,14/10/2023
714,Sushi Rice,$819325.15,7,22/6/2024
715,Portable Solar Phone Charger,$342820.00,9,12/11/2023
716,Classic White T-Shirt,$673622.00,8,14/12/2024
717,Patterned Knit Scarf,$405864.12,8,8/4/2024
718,Animal Paw Print Soap Dispenser,$28513.72,14,28/4/2021
719,Gluten-Free Bread,$375459.10,5,19/4/2023
720,Video Camera,$508785.19,18,21/12/2021
721,Peanut Butter Pretzel Nuggets,$884472.11,6,22/2/2025
722,Samoas Cookie Mix,$150245.12,11,19/2/2022
723,Basil Pesto Pasta,$44658.54,2,29/11/2021
724,DIY Organic Gardening Kit,$178875.18,7,25/11/2025
725,Lightweight Rain Jacket,$863618.21,14,31/8/2024
726,Tea Set with Infuser,$319645.60,1,13/12/2020
727,Pasta Primavera Kit,$487607.22,3,13/5/2023
728,Memory Foam Mattress Topper,$828532.72,20,3/7/2025
729,Customizable Name Plate,$249401.99,6,17/4/2021
730,Vegan Taco Seasoning,$285068.30,2,11/12/2025
731,Coconut Curry Lentils,$5332.55,8,13/11/2024
732,Sooji (Semolina),$669102.76,13,8/11/2020
733,Golf Putting Green,$68369.35,2,7/12/2021
734,Cacao Nibs,$225234.65,17,4/4/2023
735,Bicycle Lock,$942041.16,12,8/7/2023
736,Lemonade Mix,$794860.72,3,24/5/2020
737,Fall-Themed Table Runner,$316474.41,15,13/10/2020
738,Pumpkin Spice Pancake Mix,$660794.97,18,14/3/2021
739,Digital Alarm Clock,$565357.18,14,10/2/2021
740,Pressure Cooker,$726523.83,16,5/7/2023
741,Survival Gear Kit,$762827.23,2,4/9/2021
742,Red Lentil Pasta,$141716.67,2,15/11/2022
743,Vegetarian Stir Fry Sauce,$259132.41,19,25/10/2023
744,Almond Milk,$119485.94,12,18/8/2024
745,Outdoor Adventure Backpack,$35979.02,11,9/7/2025
746,Coconut Cream Pie,$879377.53,1,3/1/2022
747,Watering Can with Nozzle,$133986.11,19,4/2/2023
748,Vegetable Stir-Fry Kit,$148416.58,1,22/6/2022
749,Chicken Salad Kit,$813939.54,5,29/10/2022
750,Cucumber,$402340.51,9,10/10/2021
751,Smartphone Stand,$281449.39,1,25/9/2020
752,Cranberry Juice,$744610.31,11,24/9/2021
753,Banana Nut Oatmeal Cups,$330530.42,7,20/2/2021
754,Quinoa,$763625.24,13,21/9/2021
755,Sporty Cap,$262097.26,12,10/5/2022
756,Cranberry Almond Granola,$530495.67,8,3/6/2022
757,Oven-Baked Cheese Crisps,$193191.41,3,14/5/2022
758,Beef Sirloin Steak,$959660.11,18,2/4/2023
759,Wall-Mounted Organizer,$522500.54,9,11/10/2020
760,Two-Tone Windbreaker,$625860.80,15,2/8/2025
761,Roasted Garlic Aioli,$346157.26,4,15/10/2023
762,Thai Green Curry Paste,$321819.20,3,14/8/2021
763,Berries Medley,$146945.04,19,3/1/2021
764,Frozen Mixed Berries,$801782.00,4,3/7/2023
765,Cinnamon Raisin Bagels,$260257.19,2,2/1/2023
766,Tactical Backpack,$469806.80,17,16/3/2023
767,Kale Caesar Salad Kit,$836498.57,14,13/2/2021
768,Garlic Herb Grilled Chicken,$583419.32,10,29/11/2022
769,Adjustable Kneeling Pad,$759945.13,10,9/10/2023
770,Peanut Butter Banana Smoothie,$695896.27,12,20/9/2024
771,Nail Polish Set,$345080.22,5,18/4/2021
772,Bamboo Utensil Holder,$367026.99,5,13/3/2023
773,Electric Pressure Washer,$219870.53,16,14/12/2024
774,Essential White Button-Up,$767580.59,17,17/6/2021
775,Almond Coconut Granola,$956154.18,13,27/6/2020
776,Blueberry Chia Jam,$941074.52,10,4/7/2020
777,Mango Chutney,$571317.91,17,23/4/2025
778,Canned Black Beans,$532099.46,6,13/3/2020
779,Pet Travel Bowl,$683295.64,18,30/10/2023
780,Wireless Security System,$666115.91,17,15/10/2024
781,Wireless Gaming Headset,$237144.32,9,14/5/2022
782,Nutty Trail Mix,$187687.19,16,27/6/2023
783,Portable Speakers,$211219.75,15,11/1/2024
784,Sweet Chili Sauce,$842725.22,6,21/2/2023
785,Kids' Art Easel,$346435.78,8,9/8/2021
786,Caramel Apple Chips,$878415.45,18,7/11/2024
787,Vegetable Stock,$869531.15,13,5/2/2025
788,Chickpea Salad,$867789.84,1,30/5/2020
789,Cooking Utensil Set,$819424.05,5,24/10/2021
790,Smart WiFi Plug,$187061.28,14,9/10/2024
791,Smart LED Desk Lamp,$593895.29,2,19/2/2024
792,Chia Seed Pudding Mix,$580753.08,18,29/10/2023
793,Pet First Aid Kit,$358140.14,13,15/12/2021
794,Organic Cereal Bars,$107006.78,6,24/7/2022
795,Classic White T-Shirt,$893990.80,11,22/8/2025
796,Whole Grain Hamburger Buns,$810568.84,19,19/5/2020
797,Pesto Pasta Sauce,$59124.65,13,21/4/2024
798,Balsamic Fig Dressing,$639708.13,19,9/2/2024
799,Adjustable Standing Desk,$28754.72,13,24/5/2024
800,Warm Wool Sweater,$469988.80,15,18/3/2023
801,Stuffed Bell Peppers,$547553.36,15,20/4/2020
802,Whole Grain Hamburger Buns,$256806.21,18,18/3/2020
803,Pumpkin Spice Granola,$949256.49,4,3/11/2021
804,Set of Decorative Storage Bins,$620076.97,19,30/9/2020
805,Sweetened Condensed Milk,$532126.97,8,17/12/2024
806,Beef Stroganoff Mix,$701217.59,5,26/11/2024
807,Reusable Snack Bags,$867077.16,3,7/7/2022
808,Garlic and Herb Cream Cheese,$450718.45,17,11/1/2023
809,Wooden Children's Play Kitchen,$151527.44,18,20/1/2022
810,Caramel Sauce,$674133.70,17,2/4/2025
811,Mini Cordless Vacuum Cleaner,$991297.52,17,3/12/2023
812,Floral Wrap Top,$620351.97,1,2/3/2023
813,Warm Knit Beanie,$282582.59,12,2/1/2023
814,Self-Adhesive Wallpaper,$767344.12,9,18/1/2023
815,Coconut Almond Granola,$516681.23,6,23/7/2021
816,Garlic & Herb Goat Cheese,$240405.86,6,4/12/2022
817,Chickpeas,$916171.83,11,18/8/2021
818,Pumpkin Waffles,$846826.66,12,5/8/2020
819,Frozen Berry Blend,$397006.98,8,14/12/2021
820,Bamboo Charcoal Air Purifier Bags,$958948.35,8,15/1/2020
821,Garlic Herb Grilled Chicken,$377873.10,18,12/2/2023
822,Frozen Hash Browns,$811233.71,13,29/9/2024
823,Butternut Squash Ravioli,$182964.53,18,2/12/2025
824,Aeropress Coffee Maker,$515074.40,8,15/5/2021
825,Faux Fur Coat,$916589.19,12,20/10/2025
826,Non-Stick Crepe Pan,$937842.18,15,1/6/2022
827,Almond Butter Cookies,$701486.97,16,28/5/2023
828,Automatic Pet Feeder,$538180.21,8,9/11/2023
829,Magnetic Phone Car Mount,$261789.46,14,17/11/2021
830,Whisk Set,$354639.53,4,3/9/2021
831,Rechargeable Battery Organizer,$913736.32,19,19/3/2025
832,Cooking Utensil Set,$612490.84,12,13/2/2025
833,Collapsible Folding Chair,$830263.29,13,26/1/2023
834,Portable Pet Stroller,$771806.78,20,10/7/2024
835,Travel Luggage Scale,$97760.31,19,23/12/2022
836,Chocolate Covered Pretzels,$325955.00,9,12/5/2025
837,French Bread,$875202.30,14,2/5/2021
838,Bicycle Repair Kit,$510336.22,16,20/1/2023
839,Rechargeable Electric Screwdriver,$856914.04,8,3/10/2023
840,Pressure Cooker,$388884.24,1,26/2/2023
841,Chocolate Chip Pancake Mix,$459124.84,5,11/3/2023
842,Vegetarian Chili,$434708.17,14,6/7/2021
843,Black Bean Spaghetti,$741986.35,8,8/3/2024
844,Curried Lentil Salad,$999036.60,17,15/4/2025
845,Puzzle 3D Model Kit,$906596.69,7,2/10/2020
846,Gardening Tool Belt,$698306.24,5,21/1/2023
847,Fishing Tackle Box,$427783.96,9,17/2/2020
848,Magnet Travel Fridge Magnets,$353743.14,19,30/4/2024
849,Cotton Sweatpants,$597810.35,14,15/9/2025
850,Puzzle Game Set,$642874.52,16,8/1/2022
851,Fitness Mat,$869787.38,9,10/2/2023
852,Kale Salad with Lemon Dressing,$665431.07,19,3/2/2020
853,Chia Seeds,$23559.85,14,3/8/2020
854,Plant Growing Kit,$143394.55,3,31/1/2021
855,Watercolor Paint Set,$783533.21,15,7/9/2021
856,Smart Doorbell,$696782.48,5,31/12/2023
857,Cat Scratching Post with Toys,$456036.83,18,31/5/2020
858,Fresh Strawberries,$760463.92,1,27/1/2025
859,Buttermilk Pancakes,$353936.44,16,14/10/2023
860,Gardening Gloves with Claws,$836075.65,15,15/6/2020
861,Strawberry Rhubarb Jam,$955383.19,15,5/6/2022
862,Vacuum Sealer Machine,$517193.44,13,9/9/2025
863,Fitness Tracker with Heart Rate Monitor,$98211.75,8,13/7/2025
864,Pecan Pie Filling,$191985.84,12,20/9/2025
865,Mobile Workbench,$666053.04,16,4/6/2025
866,Cabbage Slaw Mix,$727931.46,7,13/4/2022
867,Ultra-Thin Laptop Sleeve,$231174.64,20,11/1/2025
868,Wild Rice & Quinoa Mix,$251407.82,19,11/3/2022
869,Smart Light Switch,$879925.06,19,7/4/2023
870,Sporty Leggings,$436222.12,5,3/5/2023
871,Cotton Quilted Throw Blanket,$668333.96,16,11/3/2022
872,Organic Brown Rice Cakes,$664190.62,18,7/1/2024
873,Kettle Chip Variety Pack,$301141.85,8,18/4/2024
874,Pet Water Fountain with Filtration,$615252.02,2,7/11/2022
875,Apple Pie Filling,$372129.00,13,10/1/2025
876,Hibiscus Herbal Tea,$789481.33,13,5/8/2021
877,Cinnamon Raisin Bagels,$395422.68,18,1/1/2022
878,Cat Tree,$666965.73,20,6/7/2022
879,Folding Backpack Chair,$130561.49,8,8/2/2025
880,Pet Nail Clipper,$151180.00,19,16/8/2022
881,Peach Mango Smoothie,$594360.14,12,16/3/2022
882,Herbed Mushroom Risotto,$57024.04,12,24/5/2020
883,Kale Caesar Salad Kit,$932647.96,4,2/7/2021
884,Winter Knit Beanie,$565851.43,1,14/2/2025
885,Travel Mug with Leak-Proof Lid,$380612.18,4,14/9/2022
886,Flavored Popcorn Mix,$378339.86,16,3/5/2022
887,Interactive Robot Toy,$136277.16,7,6/2/2020
888,Organic Fruit Salad,$979528.35,2,2/10/2024
889,Wall-Mounted Organizer,$915153.45,19,25/2/2021
890,Chocolate Chip Cliff Bars,$974534.56,9,6/12/2020
891,Frozen Pizza,$194730.56,12,29/9/2021
892,Non-Toxic Concrete Sealer,$284767.81,6,21/5/2021
893,Digital Thermostat,$235114.20,3,7/12/2021
894,Personalized Pet ID Tags,$609157.19,5,24/10/2024
895,Tea Infuser Bottle,$357201.92,13,18/2/2021
896,Sweet Potato Mash,$343836.04,13,9/7/2025
897,Linen Trousers,$894691.13,8,28/11/2025
898,Buffalo Style Cauliflower Bites,$249159.57,13,4/5/2022
899,Jigsaw Puzzle,$291345.77,11,24/1/2024
900,Zesty Garlic Hummus,$443329.99,20,20/11/2022
901,Vegan Taco Seasoning,$880549.20,5,15/1/2021
902,LED Desk Light,$761859.51,8,2/9/2021
903,Chickpea Salad Deluxe,$9595.02,3,16/4/2020
904,Collapsible Colander,$803481.10,12,29/10/2022
905,Vegetable Samosas,$256669.46,13,14/5/2024
906,Smartphone Tripod with Remote,$438443.78,16,11/6/2024
907,Lemon Garlic Shrimp,$190420.80,18,30/3/2022
908,Hiking Gaiters,$774755.12,14,13/10/2021
909,Chia Seed Pudding Mix,$130159.72,18,7/3/2024
910,Jalapeño Cornbread,$952414.38,12,26/2/2025
911,Outdoor Mosquito Repellent Lantern,$509648.18,20,10/9/2020
912,Compact Electric Kettle,$222283.52,12,3/9/2023
913,Vegetarian Sausage Links,$734742.20,15,24/3/2020
914,Bamboo Cutting Board Set,$894145.84,12,19/4/2025
915,Fitness Tracker Band,$436245.87,10,3/12/2023
916,Zesty Garlic Hummus,$247452.04,13,26/1/2024
917,Weighted Blanket for Adults,$277260.26,20,30/11/2025
918,Organic Coconut Sugar,$655711.16,8,17/4/2024
919,Pecan Pie Filling,$967330.67,17,9/3/2020
920,Stuffed Peppers with Quinoa,$445082.39,15,28/4/2020
921,Chocolate Chip Energy Balls,$545064.47,4,13/9/2023
922,Gardening Tools Set,$893648.52,10,20/4/2023
923,Bike Repair Tool Kit,$698184.36,11,29/11/2021
924,Outdoor Adventure Kit,$402170.74,19,22/3/2021
925,Wireless Induction Charger,$64043.35,6,12/5/2022
926,High-Speed HDMI Cable,$271501.66,12,7/5/2020
927,Breezy Off-The-Shoulder Top,$875808.32,14,30/6/2020
928,Mango Chutney,$182191.62,14,6/10/2023
929,Mini Projector,$704250.07,10,7/12/2023
930,Beet Salad,$440962.10,12,21/9/2021
931,Peanut Butter Filled Pretzels,$440580.85,8,13/11/2025
932,Cordless Electric Screwdriver,$922515.65,9,18/1/2025
933,Honey Mustard Sauce,$280562.82,16,4/4/2025
934,Buffalo Sauce,$175335.47,16,20/5/2025
935,Telescope,$562755.80,16,27/6/2021
936,Chiffon Blouse,$753450.97,19,15/2/2023
937,Ricotta Cheese,$901442.19,19,8/4/2021
938,Pistachio Ice Cream,$384023.62,8,13/12/2024
939,Personal Security Alarm Keychain,$4376.44,20,14/12/2025
940,Caramel Apple Taffy,$950081.60,14,25/7/2025
941,Portable Laptop Table,$381099.09,20,8/4/2025
942,Herbed Mushroom Risotto,$806626.28,14,11/4/2022
943,High-Quality Yoga Mat,$585906.52,14,13/3/2020
944,Pet Travel Bowl,$141618.55,11,30/7/2022
945,Basil Tomato Soup,$583864.78,15,21/7/2020
946,Oven Mitts,$446752.29,20,5/8/2021
947,Toasted Coconut Granola,$215590.70,19,18/7/2023
948,Classic White T-Shirt,$203159.44,12,6/2/2023
949,Dish Soap Dispenser,$642987.22,3,22/2/2020
950,Chocolate Covered Pretzels,$885335.10,18,30/1/2023
951,Scented Candle Set,$751918.33,11,10/9/2022
952,Car Vacuum Cleaner,$739536.27,16,1/7/2021
953,Electric Toothbrush Holder,$257136.50,10,9/7/2022
954,Brussels Sprouts,$106821.29,4,27/9/2023
955,Honey BBQ Ribs,$546421.06,6,17/9/2023
956,Sriracha Sauce,$787797.04,6,25/11/2025
957,Creative Puzzle Game,$448004.88,3,17/10/2022
958,Reclining Camping Chair,$725466.05,5,10/12/2025
959,Peanut Butter Banana Smoothie Mix,$940674.28,10,1/7/2022
960,Teriyaki Tofu Stir-Fry,$773881.84,16,3/8/2025
961,Almond Joy Protein Bars,$600560.74,7,21/12/2020
962,Kid's Fruit Snacks,$433574.06,16,22/1/2022
963,Granola,$436642.60,15,20/12/2023
964,Rechargeable Hand Warmer,$8771.75,1,9/9/2024
965,Mini Cordless Vacuum Cleaner,$182531.11,19,13/12/2025
966,Almond Flour Brownies,$83950.10,20,23/8/2024
967,Spicy Tuna Salad,$131861.86,17,26/2/2023
968,Strawberry Banana Smoothie Pack,$623762.29,2,11/3/2024
969,Vanilla Protein Powder,$170339.72,18,5/8/2023
970,Electric Stir Fry Pan,$947236.94,2,25/5/2020
971,Black Olives,$440914.84,10,24/6/2023
972,Multi-Functional Rice Cooker,$269587.90,17,29/7/2020
973,Smart LED Desk Lamp,$611592.93,8,18/2/2024
974,Scented Soy Candles,$846276.86,2,16/2/2021
975,Kids' Building Blocks,$225572.25,18,14/9/2025
976,Tahini,$935933.45,9,28/4/2021
977,Frozen Burritos,$92848.18,4,3/12/2021
978,Cranberry Lime Sparkling Water,$711039.32,4,12/5/2024
979,LED Desk Lamp with USB Charging,$667401.94,18,20/3/2024
980,Cheddar Cheese Crackers,$335245.63,3,16/11/2020
981,Natural Fruit Snacks,$585357.06,16,8/5/2023
982,LED Desk Light,$489844.95,3,26/1/2021
983,Water-Resistant Bluetooth Speaker,$862031.83,1,15/5/2023
984,Pasta (Fusilli),$747093.45,7,23/8/2022
985,Collapsible Folding Chair,$298351.99,2,29/7/2021
986,Fitness Jump Box,$722439.29,17,21/7/2022
987,Kale Salad Kit,$214851.59,13,20/10/2021
988,Pet Carrier,$437162.99,17,5/5/2024
989,Vegetable Curry,$2104.58,19,23/3/2020
990,Baby Monitor,$249354.56,11,19/8/2021
991,Premium Flashlight,$600337.63,6,21/3/2024
992,Portable USB-C Monitor,$295587.27,7,6/8/2022
993,Wall Calendar,$782617.99,7,19/10/2022
994,Organic Tomato Soup,$381646.02,9,23/6/2021
995,Lentil Vegetable Stew,$372370.81,9,27/4/2024
996,Cinnamon Spiced Almonds,$850968.14,15,10/7/2022
997,Whole Chicken,$820855.46,20,6/8/2025
998,Fitness Resistance Bands Set,$149317.06,13,3/9/2023
999,Under Desk Footrest,$722419.13,3,24/9/2020
1000,Organic Green Tea,$528998.94,17,9/7/2025
